title,brand,description,price/currency,price/value,stars,reviewsCount
"KleenGuard™ V30 Nemesis™ Safety Glasses (22475), with Anti-Fog Coating, Smoke Lenses, Black Frame, Unisex Sunglasses for Men and Women (Qty 12)",KLEENGUARD,"KleenGuard™ Personal Protective Equipment (PPE) enables rather than inhibits – allowing for maximum productivity and safety for you and your employees. Giving your employees what they need to do their job safely and effectively is a top priority of any business owner. KleenGuard™ Nemesis Safety Eyewear's stylish good looks and durable, lightweight construction are just some of the reasons why millions of people wear them for protection both at work and at home. Nemesis Safety Glasses have polycarbonate lenses that provide 99.9% UVA/ UVB/UVC protection to help prevent eye damage like cataracts, retinal damage, and other conditions that can cause temporary vision loss., The wraparound frame has a base curve of 8 that extends the range of peripheral protection, as well as soft touch temples for comfort. The Nemesis safety glasses have a patented nose piece designed to be extremely flexible, to channel sweat away from the eyes, and to help prevent slippage down the nose – all for long-term comfort. Each pair of KleenGuard™ Nemesis safety glasses come with a neck cord for securing them, so that the glasses are ready to protect at a moment's notice. The safety eyewear is manufactured to comply with the ANSI / ISEA Z87.1+ standard for personal eye protection. Both men and women will find these stylish glasses to be comfortable and functional for construction, manufacturing, gun shooting / shooting range, and a host of other industries. Remember: comfort and style drive compliance, so it pays to provide comfortable designer glasses that your staff will be proud to wear. Making the right Personal Protection choice is difficult. Perform with distinction with KleenGuard™ Personal Protective Equipment (PPE).",$,49.1,4.7,1316.0
ShadyVEU Super Dark Black Lens Round Sunglasses UV Protection Spring Hinge Soft Matte Frame Fashion Shades,ShadyVEU,,,,4.3,1897.0
Frienda 8 Pairs Heart Shaped Sunglasses for Women Rimless Heart Glasses Candy Color Heart Sunglasses for Party Favor,Frienda,,,,4.7,3308.0
QALLY Polarized Sunglasses Men Lightweight Square Mens Sun Glasses for Driving Sports with UV400 Protection,QALLY,,$,19.99,4.5,629.0
"KastKing FlatRock Polarized Sport Sunglasses for Men and Women, Ideal for Driving Fishing Cycling Running, UV Protection",KastKing,,$,26.99,4.5,502.0
Ofwin Polarized Sports Sunglasses for Men Women Unbreakable Frame Cycling Fishing Wrap Around Sunglasses UV400 Protection,Ofwin,,,,4.5,49.0
A｜X ARMANI EXCHANGE Men's Ax2012s Rectangular Sunglasses,A｜X ARMANI EXCHANGE,"Young and contemporary, A|X Armani Exchange sunglasses redefine the essentials of Armani style through a sophisticated use of urban style. These Armani Exchange AX2012S sunglasses for men feature a rectangular metal frame with a double bridge, tapered temples embellished with the A|X logo and solid, gradient or polarized gradient lenses. The lenses on the AX2012S sunglasses are scratch resistance and are coated with 100% UV protection to protect your eyes from harmful UV rays. Each pair of A|X Armani Exchange sunglasses come with a sunglass case and cleaning cloth to clean, protect and store your sunglasses. A|X Armani Exchange sunglasses sold by authorized sellers, like Amazon..",,,4.5,412.0
"KastKing Hiwassee Polarized Sport Sunglasses for Men and Women, Wrap Sunglasses for Fishing Cycling and Running,UV Protection",KastKing,,,,4.5,6109.0
BEACOOL Polarized Sports Sunglasses for Men Women Youth Baseball Cycling Running Driving Fishing Golf Motorcycle TAC Glasses,BEACOOL,1️⃣.Bea CooL - Worth your try and trust.👨‍,$,21.99,4.4,9245.0
"ZENOTTIC Polarized Round Sunglasses, Stylish Sunglasses for Men and Women Retro Classic, Multi-Style Selection",ZENOTTIC,,,,4.2,4304.0
suoso Polarized Sunglasses Men Sports Sunglasses Womens: UV400 Protection Sunglasses for Women Wrap Around Cycling Glasses,suoso,"Sport Polarized Sungalsses for Men Women: UV400 Protection Flexible Frame Wrap Around Sun Glasses for Cycling Fishing Driving Running BaseballEyewear Type: Sports Polarized Sunglasses for Men Women The womens sunglasses are designed for those who are keen on outdoor activities.The mens sunglasses super light environmentally friendly material frame: You can hardly feel them on your face!Polarized lenses block 100% of the sun's harmful UVA & UVB raysThe women's sunglasses have great fashion frame design for cycling, running, fishing etc. outdoor lifestyles.We Picked Ultra-light Materials for Glasses Frame, Shatterproof Polarized Lenses and We Took Care so that every Edge is Smoothed and Polished so you’ll even Forget that you Wear them out in the Sun.The unique flexible spring hinge and frame , fit for your face perfectly while wearing this.FEATURES AND BENEFITS: The polarized sunglasses women: cool full frame design for clear lower vision field.Durable and unbreakable frames and lens.Polarized lens help eliminate reflected and scattered glares.Good for sports or other outer door activities.Packaged Included:Portable Zippered Hard Protection Case, Colour Box, Pouch, Glasses cloth, Strap ectWarmly reminded:Please use neutral detergent or soap water to clean, gently wipe dry with a clean soft cloth.",$,19.99,4.5,466.0
MEETSUN Polarized Sunglasses for Men Women Classic Retro Sun Glasses for Driving Fishing 100% UV Protection,MEETSUN,,$,15.99,4.4,1073.0
